,问题,选项1,选项2,选项3,选项4,答案
190,以下哪句话中“知道”的意思(或用法)与其他句子不同。,"闻一言以贯万物,谓之知道。",我的父亲很高，但很瘦。他的背已有些伛偻，我不知道是他更瘦了还是老了。这是一个让人思考的问题，想得我揪心地疼,人不要等明天，因为没有人知道自己有没有明天,也许很多人知道自己的优点和缺点，也在慢慢的学习藏在别人身上的优点，也许那个人会成功的获得又一个的优点，也许也会获得一个优点，多了一点缺点。其实很多的缺点是可以改的，可以改成自己的优点,A
191,以下哪句话中“制作”的意思(或用法)与其他句子不同。,秦兵马俑的制作技艺精巧，胜过天然，享有盛誉,我们制作的飞机模型在空中平稳地飞翔,空模制作，是我的最爱。它既可以开发智力，又能培养我们的动手能力，还可以丰富我们的业余生活，真是一举多得啊,他独出心裁地制作了这件手工艺品,D
192,以下哪句话中“著作”的意思(或用法)与其他句子不同。,多读名家著作，多向有经验的人请教，同样是必要的。郭沫,我这一生不曾工作过，我的幽默和伟大的著作都来自于求助潜意识心智无穷尽的宝藏,这沥青据古代著作家们说，一沾上身就会留下揩不掉的污点；你所来往的那帮朋友也是这样。莎士比,大著作有时全不需要好屁股。听郑须溪说，德国人就把“坐臀”作为知识分子的必具条件。譬如，只要有坐性，《水浒传》或《红楼梦》的人名引得总可以不费心编成的。这是西洋科学法，更是二十世纪学问工具。钱钟,C
193,以下哪句话中“简单”的意思(或用法)与其他句子不同。,任何职业都不简单，如果只是一般地完成任务当然不太困难，但要真正事业有所成就，给社会作出贡献，就不是那么容易的，所以，搞各行各业都需要树雄心大志，有了志气，才会随时提高标准来要求自己。谢觉,要成功，先发疯，头脑简单向前冲,把简单的变成丰富，是聪明；把丰富的变成简单，是智慧。丰富，有助思考；简单，便于实行。丰富的简单，能思能行，可成大业,简单的事情重复做，重复的事情耐心做,A
194,以下哪句话中“破产”的意思(或用法)与其他句子不同。,钻石恒久远，一颗就破产,我曾经破产三次，但我不曾因此失眠过一分一秒,微软离破产只有18个月。他的意思是说，假如企业无法不断的创新进步，也许一年后就不复存在了。企业如此，人亦如此,有利润的企业说不定会破产，但持有现金的企业永远也不会破产,B
195,以下哪句话中“生长”的意思(或用法)与其他句子不同。,春天像刚落地的娃娃，从头到脚都是新的，他生长着；春天像小姑娘，花枝招展的，笑着、走着；春天像健壮的青年，有铁一般的胳膊和腰脚，领着我们上前去,心简单，世界就简单，幸福才会生长；心自由，生活就自由，到哪都有快乐,那是春天时，法桐的嫩芽在阳光照耀下迅速的生长着。正好，一场春雨下来把刚刚长出来的嫩叶冲洗了一遍，洗得那叶子格外的绿。不一会儿，太阳公公出来了，好似整个树都在吮吸着地下的水，茂盛的生长着,崇高的理想就像生长在高山上的鲜花。如果要搞下它，勤奋才能是攀登的绳索,B
196,以下哪句话中“长官”的意思(或用法)与其他句子不同。,道德活动既受政府长官支配，又受良心的制约。约翰·洛,新学员要对包括学长在内的人敬礼，称呼“长官”、“您”，这在社会是被视为软弱的行为，但在军队新学员必须学会尊重、谦虚,我有两个长官，一个是我父亲，一个是蒋总统。我对他们两人的评价是：我父亲这人有雄才，大略不好蒋；介公有大略，雄才不如我父亲,士兵们须常持枪弹在手，步兵须常与炮兵骑兵及其长官保持联络；军队的各师团之间须常在互相协助、互相支持、互相保护的地位,A
197,以下哪句话中“场面”的意思(或用法)与其他句子不同。,音乐会场面布置得非常宏大,雨声，风声，雷声，交织在一起，再加上道道闪电，那场面真像一个巨人挥舞着利剑在进行着殊死搏斗呢,来到南面，看到的是重建唐山的场面：一片片废墟被清除了，一栋栋楼房盖起来了，一条条道路修好了。一座崭新的城市已初具规模……最后，我来到了西面，一座新城展现在世人的眼前，彻底粉碎了西方某些国家人士“唐山在中国版图上消失了”的胡言,地震的场面同样令人感动：一位老师用自己的身躯挡住了倒塌的房梁，挽救了四个学生的生命；一对父母手牵手为孩子撑住了一个活着的希望，自己却永远的离开了这个世界……灾难让生命显得如此脆弱，灾难却也让人们变得坚强,A
198,以下哪句话中“市场”的意思(或用法)与其他句子不同。,资产阶级，由于开拓了世界市场，使一切国家的生产和消费都成为世界性的了……过去那种地方的和民族的自给自足和闭关自守状态，被各民族和各方面的互相往来和各方面的互相依赖所代替了。恩格,开发的是市场而不是产品,这种理论在群众中是没有市场的,每年立秋后，大批辣椒涌向市场，辣椒的销路总是不用愁，价格也不错。这小家伙，模样儿可爱，细长的身材，宛如一位身段窈窕的艳装淑女，让人看着很是喜欢,C
199,以下哪句话中“经常”的意思(或用法)与其他句子不同。,历史本身经常重演，第一次是悲剧，第二次就成为闹剧了,家中煤气经常关，莫用生命买教训,我经常和我的套娃做游戏。有时候，我把十个小娃娃从小到大的排列起来，当我的士兵，玩将军和士兵的游戏。有时，我嫌它们占地太多，就把小娃娃装到大一点的娃娃肚子里，最后，只有最大的娃娃和我做伴,经常是最后一把钥匙打开了门,B
200,以下哪句话中“非常”的意思(或用法)与其他句子不同。,备他盗之出入与非常也。,面对困难，许多人望而却步，而成功的人士往往非常清楚，只要敢于和困难拼搏一番，就会发现，困难不过如此,他空咽一口唾液，再选一粒来咬。这回他剥时非常小心，把咬碎了的瓜子陈列在舱中的食桌上，俯伏了头，细细地剥，好象修理钟表的样子,我的童年非常快乐，那时发生的故事至今记忆犹新。其中有一件事我一想起来心里总特别高兴。因为它给我带来了无限乐趣,A
201,以下哪句话中“时刻”的意思(或用法)与其他句子不同。,我从来没有埋怨人民，不论是现在或任何时刻。,相信一些东西，并且永不怀疑。对于其余，则时刻保持警惕,在生命中总会想起那样一个时刻，守望着温柔的九月，静静地看着大漠孤烟，长河落日，聆听着秋风心事，映照着枫叶飘落的一汪清潭，倒一杯清茶，轻轻靠着古旧的摇椅，让灵魂仔细搜寻着那些已淡忘许久的,不要皱眉，即使在伤心的时刻，因为你从不知道有谁会醉心于你的笑容,B
202,以下哪句话中“落实”的意思(或用法)与其他句子不同。,不管是金点子，还是银点子，得不到落实都是空点子,计划要细，动手要早，落实要准。计划与目标、行动一致,自古以来，所谓的伟人都有扎根于地的落实，以及雄壮的营运能力，所以愈玩味他们丰功伟绩中的体验，你就愈觉得其味无穷，感人至深,时时有事做，事事有落实,C
203,以下哪句话中“原来”的意思(或用法)与其他句子不同。,三月的春风又悄悄的跑到公园里，让小溪脱掉它那厚厚的冰衣，小溪回到了原来美丽的身躯。它又让孩子们的风筝飞得更远,首期工程竣工后，天津港的泊位将由原来的三泊位增加到六个，吞吐能力新增一百二十万吨，并进一步改善码头的作业环境，提高港口的综合通过能力。,肃穆的青山原来多妩媚，深幽的绿水恰似好温柔。丛林变得滋润，石阶更显轻盈。雨中看云飞雾起，变幻多端，正如人生莫测；雨中泛舟寻清趣，远近皆朦胧，人在诗意中,她那两撤淡淡的长眉毛，立时竖起来，原来总是眯着的眼睛也瞪得和杏子一样圆,D
204,以下哪句话中“哪里”的意思(或用法)与其他句子不同。,一个做企业的人，如果不能发现自己最大的毛病在哪里，一般都不太容易成功，因为这肯定会是组成水桶的最短那块板，让一桶水都流掉,夜色昏暗，月亮在天上，却不知躲在哪里，因为这位狄亚娜小姐有时溜到地球的那一边去逛，害得这里群山黑魆魆，大野阴沉沉,哪里有天才，我是把别人喝咖啡的功夫，都用在工作上的。鲁,杏花开时，几只不知从哪里飞来的麻雀在枝头嬉闹，一时蹬落了许多花瓣，纷纷扬扬飘飘洒洒，好似下了一场杏花雨,C
205,以下哪句话中“理论”的意思(或用法)与其他句子不同。,通过实践，理论才能变成实的。通过实践，理论才落到实处。通过实践，所学到的知识才不至于成为空洞教条的理论,能作正确理论的人，也会创造。谁相创造，必须学会理论。莱,真正的理论在世界上只有一种，就是从客观实际抽出来又在客观实际中得到了证明的理论。毛泽,双方理论一言不和大打出手，分别呼朋引伴找来一堆车子助阵。,D
206,以下哪句话中“那么”的意思(或用法)与其他句子不同。,如果不能耐心的等待成功的到来，那么只能用耐心去等待一生的失败,“我们在科技前沿也是对法律不是很熟悉，那么有了这个法律卡以后呢可以请他们来帮助来告诉我们法律方面的这样，那么使我们不用为了法律保护去专心去做研究。”,如果你不能改变你的容貌，那么就改变你的表情吧,一个人短暂的生命里，总会有那么一些事是难以释怀的，魂牵梦萦，成为心中永远的痛,D
207,以下哪句话中“命名”的意思(或用法)与其他句子不同。,继光水库是名从主人而命名的,尽管天上有一颗以我的名字命名的行星，地上到处有我的画像，名字也经常出现在各种媒体上，但我绝对没有高处不胜寒的感觉。因为我童心未泯，不喜欢古板，不喜欢一本正经,即使给狼洗礼命名，它还是要跑回森林里去,义理有疑则濯去旧见，以求新意，心中苟有所闻，即命名札记，不思则还塞之矣？更须和朋友之助,C
208,以下哪句话中“回忆”的意思(或用法)与其他句子不同。,在美好的回忆中迎接明天吧，拿起披荆斩棘的利剑，在艰难困苦中奋勇搏击，搏出生命的精彩，搏出瑰丽的人生；在美好的回忆中走向前方吧，以阳光般的心态，不畏苦难，不畏流言，从容而淡定地一路走下去…,回忆缠绵着我的点滴思绪，勾勒着埋藏深久的过去眷恋以往烟雨。不想再停留在过去，不想生活在回忆。生活还在继续，学习需要努力，我要再接再厉,童年的趣事好似一颗颗明亮的繁星，让你回忆；童年如同一本丰富多彩的书，每一页都有不同的精彩…,时间如同一股流水，它能协助我们冲淡心灵上痛苦的回忆,C
209,以下哪句话中“图书”的意思(或用法)与其他句子不同。,在图书馆扒着睡觉的时候流口水，就象晚年石钟乳一样,世界上最壮丽的宫殿是藏书最多的图书馆,在学校里，我们读书；是提供给了自己一份欢笑。在图书馆里，我们读书；是提供给了自己一份知识。在家里，我们读书；是提供给了自己一份精神之旅,刻两方图书。,D
210,以下哪句话中“画面”的意思(或用法)与其他句子不同。,友情，哦，有太多太多的画面涌现在眼前，那小小生活细节流淌着纯真的友谊，让你不经意间为之感动。拥有感动，心中才会有一种温暖，嘴角才会有一种微笑，生活才变得美好，人生才变得有意义。友情难求，才显得可贵,少年时代的读书生活恰似一幅流光溢彩的画面,父亲与母亲依旧伫立于画面中。母亲站起身来，父亲的身子有些微微颤动，柔和的目光始终停留在母亲的脸颊。父亲缓缓向前迈了一步，伸出双手，是拥抱吗？迟疑中，父亲像个大男孩般羞涩尴尬地笑了起来,天空中的烟花越来越多，形态各异。有的像撑开的伞，有的像含苞欲放的花朵，还有的像数十条金色的银蛇，扭动着升上天空。天空好似一幅美丽，迷人的画面,D
211,以下哪句话中“社会”的意思(或用法)与其他句子不同。,政府不仅是一个组织社会生活的机。西塞,书籍能引导我们进入高尚的社会，并结识各个时代的最伟大人物。斯迈尔,尊重是人格的体现，尊重是自我谦虚，尊重是社会和谐的基础，尊重是我们彼此的追求,政党就是一种社会，是一种政治的社会，政治社会的第一类就是党派，党是阶级的组织。毛泽,D
212,以下哪句话中“上门”的意思(或用法)与其他句子不同。,上门女婿,日光不照临，医生便上门,三年不上门，当亲也不亲。吴承,机会不会上门来找；只有人去找机会,A
213,以下哪句话中“配备”的意思(或用法)与其他句子不同。,典型的利丰集团员工犹如配备了降落伞，协助他降落到世界上最偏远的地方；配戴利刀，以便披荆斩棘地找寻最廉价的生产商；携着诺基亚手提电话，与上级、顾客、物流供应商，及与其他有关人士保持联系，以达成交易,配备有空对地、空对舰飞弹和火箭发射器，杀伤力颇大。,我校这栋新建教学楼里配备了先进的电教设备，真是锦上添花啊,700全系配备了一款新式键盘，扁平的按键宛如拼字板,B
214,以下哪句话中“下来”的意思(或用法)与其他句子不同。,云台山的瀑布千姿百态。那些从山顶流下来的瀑布，就像一群四蹄生风的白马如潮水般的涌来；那些从山腰间流下来的瀑布，又像是纺织出的白绸飘然而下；那些从山丘上流淌下来的瀑布声，像小鸟欢快的歌声，仿佛在欢迎我们的到来,但两轮下来，中国只有两人进入八强，日本棋手也折损了三分之二；但韩国的５名棋手只有小将睦镇硕今天惜败于中国的常昊，其他４人全都顺利过关，这更加重了他们争夺本次大赛桂冠的筹码。,秋天，大部分树叶都渐渐地变黄了，有的已经枯落下来了，唯有枫叶红了起来，火红火红的，为秋天增添了一道亮丽的风景线，真是“霜叶红于二月花”啊,雪天，当漫天飞舞的纯洁的雪花从天空翩翩的舞下来，世界立即被他们这些可爱的天使覆盖，在这个世界多了一份诗情画意,B
215,以下哪句话中“位置”的意思(或用法)与其他句子不同。,人生最重要的不是你所处的位置，而是你所朝的方向,地球是运动的，一个人不会永远处在倒霉的位置,夏天：在外婆家，是不会有炎热出现的，外婆家的位置可以说是依山傍水，你若真是感觉热了，没事儿！准备好一切，跳下小溪，玩个痛快，因此，在外婆家的夏天，充满了孩子的笑声,"等他平平气,方好位置他",D
216,以下哪句话中“维护”的意思(或用法)与其他句子不同。,友谊，需要真诚来维护，朋友之间需要真诚，如果失去了真诚。这段友谊将会粉身碎骨，支离破碎,法律现在已经成了我们维护自身利益的、保护自己的一张盾牌,"""信仰与迷信不同。维护信仰到了迷信的程度,便使信仰毁灭。帕斯""",时时保持敬业精神，处处维护客户利益,D
217,以下哪句话中“良好”的意思(或用法)与其他句子不同。,良好的健康状况，精神饱满和体力充沛——这是朝气蓬勃地感知世界、乐观主义精神和随时准备克服困难的思想的最重要的条件。苏霍姆林斯,和蔼可亲的态度，永远是教师良好教态的注脚,良好的心态对一个人来说是极为重要的，尤其是刚步入社会的实习生、见习生显得更为重要。在融入社会大家庭的那一刻，我们都肩负着自己的那份责任，因为有太多的知识需要我们去吸收、去掌握。良好的心态，将会成为我们克服困难，勇往直前的有力支持,有一个清醒的头脑比有一个聪明的头脑更重要；有一种良好的习惯比有一种熟练的技巧更实用；有一股青春活力比有一副健全的臂膀更有力；有一身勇气和胆识比有一门知识更强劲,C
218,以下哪句话中“龙头”的意思(或用法)与其他句子不同。,他话匣子一开，活像自来水龙头，一拧开就哗哗往外流水,请动一下手，关好水龙头,任何行业，只把眼光盯住龙头老大,我家住胡同口，有一个公用知来水龙头，看水龙头是一位老大爷。他矮墩墩的身材，胖乎乎的面孔，红茶色发亮的额头下面，两条弯弯的眉毛，一双细长的眼睛，那面相就像一尊弥勒佛,C
219,以下哪句话中“认为”的意思(或用法)与其他句子不同。,报告认为，如果经济和金融政策得力，亚洲地区经济可望在１９９９年开始回升，但不会象墨西哥和阿根廷在１９９４－１９９５年金融危机后那样出现高速Ｖ形大回升。,不要认为乞丐与众不同。他们是人，七情六欲，悲欢离合，酸甜苦辣，他们也有。但这丑陋的世界，让他们封存了那颗心，任谁，也融化不了。如果，说真的有什么与中不同的话，或许，他们比很多人都干净,报告认为，亚洲金融危机给世界经济造成的影响比以前估计的要严重。,他认为，友好城市现已成为民间外交的主要渠道。,B
220,以下哪句话中“那里”的意思(或用法)与其他句子不同。,"这儿瞧瞧,那儿看看,觉得什么都是新鲜的",有利益所在的地方，天下人都向那里聚焦，以追逐财利,我家屋后有一片茂密的竹林，那里翠竹万竿，个个都是劲节凌云。远看，是汪洋的竹海。碧绿的“海浪”一浪盖过一浪，“沙沙沙”的细浪声，节奏鲜明、悦耳动听,下雨了，小亭子不怕风吹雨打，毅然的挺立在那里，人们会迅速的躲在亭子下面，这时小亭子就是我们温暖的家，雨水拍打着周围的草地和竹林，这壮观的景象尽收眼底，多么惬意,A
221,以下哪句话中“不通”的意思(或用法)与其他句子不同。,发号施令爱情中是行不通的。蒙,生活不是单行线，一条路走不通，你可以转弯,对外语一窍不通的人也不会通母语。高,"""所以出现那些文字不通,引典错讹,以及贻笑大方的硬伤,无庸讳言,是由于我们这一代人读书较少的缘故。""",D
222,以下哪句话中“不足”的意思(或用法)与其他句子不同。,循法之功，不足以变世；法古之学。梁章,失败像明镜一样，清晰的映射出我们曾经的不足；像敲响的警钟一样，让我们时刻谨慎,我们不怕不懂，就怕装懂；不怕不足，就怕满足,上进者勇敢地承认自己的不足，发现自身的弱势，然后想办法赶快弥补,A
223,以下哪句话中“不可”的意思(或用法)与其他句子不同。,同情，人性中不可缺少的元素，人类组合的和谐音响。我曾苦苦地追寻过它的色彩显像，包含着色彩三原色中的两种。没错，肯定没错，请原谅我的自信。难道你没看到，它给被同情者送去的是温暖，为同情者带回的是收获,长江的水真猛啊，势力不可挡，像千军万马在沙场冲锋陷阵；长江的水真奇啊，仿佛一条金鳞巨龙,要在文化上有成绩，则非韧不可,有福不可享尽，有势不可使尽,C
224,以下哪句话中“灿烂”的意思(或用法)与其他句子不同。,碧空，晴虹万里，阳光透过窗户，灿烂地折射在我的脸上。心情自然轻松愉快拉,母爱像一缕灿烂的阳光温暖着我们的心；母爱像一滴甘甜的雨露滋润着我们的心；母爱像一剂苦口的良药保护着我们的心,彩虹七色分明，灿烂夺目，仿佛一座节目的彩色拱门,在年轻人的颈项上，没有什么东西比事业心这颗灿烂的宝珠更迷人了。爱默,A
225,以下哪句话中“公车”的意思(或用法)与其他句子不同。,人生就像是坐着公车旅行，我们可以不必在乎车会停在哪儿，要在乎的是经过的景色和看这些景色时的心情,"安帝雅闻衡善术学,公车特征拜郎中,再迁我太史令。",大力士比赛中，几个血气方刚的小伙子居然把公车拉动了，在场民众无不鼓掌叫好,"""公车中,一位站着的孕妇对她身旁坐着的男子说：你不知道我怀孕了吗？只见男子很紧张地说：孩子不是我的""",B
226,以下哪句话中“沉重”的意思(或用法)与其他句子不同。,墨蓝的沉重的天幕正一点点地向背后徐徐撤去，那美丽的蔚蓝色晨曦刚刚在遥远的东方染着山峦和草原,人生不是一种享受，而是一桩十分沉重的工作。托尔斯,郑瑾听见了道静沉重的呼吸。,人生实在是一本书，内容复杂，分量沉重，值得翻到个人所能翻到的最后一页，而且必须慢慢的翻,C
227,以下哪句话中“成家”的意思(或用法)与其他句子不同。,随着时间的推移，父母会先我而去，孩子长大后也会成家离我而去，而只有妻子是唯一陪我走过一生这个漫长岁月的人,刻薄成家，理无久享；伦常乖舛，立见消亡,等你成家之后你就应该会学会精打细算了,雨声中，他长大了，成家了，做父亲了……小巷、老屋和雨，成了他生命最奇诡的底色。下雨的日子，他也向他的儿子讲那些古人关于雨的诗句，他的画室也总会有好友联袂而至,B
228,以下哪句话中“生成”的意思(或用法)与其他句子不同。,愚蠢是一种天然生成的无法，是一种后天的懒散，是一颗自个种下的后果，是一条好果实中的蛀虫,科索沃上空的硝烟还没有散去，密切关注世界战争风云的高金又有了新的思考，现代战争战斗力的生成和发展最终取决于智利资源的占有和配置。,江苏苏州姑苏制药厂生成的板蓝根颗粒等４个生产单位生产的两个品种属生产中国药品１９９５年版规定之外的规格，广西立普制药厂生产的板蓝根颗粒等３个生产单位生产的两个品种属已有中国药典标准仍按地方标准生产的，国家药品监督管理局责成当地药品监督管理局分别依法撤销这些品种的生产批准文号。,每个人的爱情故事都是一本圣经，记载世界的生成和未来,A
229,以下哪句话中“澄清”的意思(或用法)与其他句子不同。,一般不做自我辩护，但可以澄清一些观念、一些选择、一些是非,他向小刚道歉，澄清了误会，两个人又成了好朋友,"""事实得以澄清,他们冰释前嫌""",有澄清天下之志,D
230,以下哪句话中“迟迟”的意思(或用法)与其他句子不同。,整个城市笼罩在阴湿的雨里，灰蒙蒙的天空，迟迟见不着阳光，让人感到莫名的沮丧，常常走在街上就有一种落泪的冲动,长安古道马迟迟，高柳乱蝉栖,勿因上天的恩泽迟迟未降临而萌生被遗弃的错觉，坚持、坚忍、坚定，耐性是一种天赋,许多人完全知道要成功他们必须做什么，但他们迟迟不愿采取正确的行动。成功的秘密是这样的：不要只是想着采取行动，而是要“采取正确的行动！”,B
231,以下哪句话中“支持”的意思(或用法)与其他句子不同。,支持世界军控,让我们一起共勉，互相支持，让我们跑得更快，跑得更好吧！哪怕路上有风雨，哪怕途中有坎坷，只要不放弃奔跑，不放弃对自我的修行，我们终究会创造属于自己的生命奇迹,成功，需要坚强，更需要这样一种爱：博大，豁达，默许和支持。摔倒后，所有人都会淡淡笑笑，却赐予你追寻灿烂阳光的希望与勇气,当强烈支持幻想曲的灼热耗尽，凛冽的寒冬来临，多情岂能代替火焰取暖，秋波又岂能代替食物充饥,A
232,以下哪句话中“冲突”的意思(或用法)与其他句子不同。,法律乃是改革的主要力量，是解决冲突的首要渠道,在个人跟社会发生任何冲突的时候，有两件事必须考虑第一是哪方面对，第二是哪方面强。泰戈,这种因为时代改变造成之冲突悲剧主题，在黄春明的经典名作《锣》里，又再度出现。,在产生矛盾发生冲突时，只要退一步考虑或站在对方立场上看待问题，那么双方就不会继续僵持，也不再会有对立面,C
233,以下哪句话中“轻重”的意思(或用法)与其他句子不同。,没有不犯错误的人，只是错误有大小轻重的区别,法，国之权衡也，时之准绳也。权衡所以定轻重，准绳所以正曲直,君子以道德轻重人，小人以势轻重。胡,"""你最好权衡轻重,然后取舍""",C
234,以下哪句话中“出手”的意思(或用法)与其他句子不同。,心里有春天，心花才能怒放；胸中有大海，胸怀才能开阔；腹中有良策，处事才能利落；眼睛有炯神，目光才能敏锐；臂膀有力量，出手才有重拳；脚步有节奏，步履才能轻盈,出手不凡,笑声如涛，大而震耳，这是自信的笑：站立如松，直而不曲，这是自信的站；出言如大河奔流，不盖不遮，这是自信的说；出手如单刀直人，当机立断，这是自信的做,我体魄健壮，出手不凡，面对小混混的挑衅，我何以畏惧,B
235,以下哪句话中“出身”的意思(或用法)与其他句子不同。,出身和祖先以及那些未经自己努力而获得的东西，是不能称为己有的。奥维,武举出身,说起牛，大家并不陌生，而像我这种出身于农村家庭的孩子，更是每有每户的必备物，牛也就这样平凡而无奇地走进了我的视野,出身门第高的贵族子弟占据了高位，那么出身贫寒的英才就要受到压制和排斥,B
236,以下哪句话中“出来”的意思(或用法)与其他句子不同。,从林子里面出来了几个人,一只画眉鸟飞了出来，被我们的掌声一吓，又飞进了叶丛，站在一根小枝上兴奋地叫着，那歌声真好听,画眉鸟飞了出来，被我们的掌声一吓，又飞进了叶丛，站在一根小枝上兴奋的叫着，那歌声真好听,我的心里绽开了朵朵鲜花，就要蹦出来似的,A
237,以下哪句话中“发出”的意思(或用法)与其他句子不同。,由于它在建造方式上具有见效快的特点，发出的电在价格上也具有较强的竞争力。,来到瀑布前，只见水流从匕坠下，发出哗哗的响声，仿佛在演奏一曲交响乐,小水珠落在树叶上，发出“嘀答”的声音；小水珠落在窗户的玻璃上，发出“嘀嘀”的声音；小水珠落在池塘里，发出“扑通”的声音……这么多种奇特美妙的声音混合在一起，就像是一首春雨的交响曲,枫树林给大地铺上了红色的地毯，秋风一吹，枫叶发出哗啦啦的响声，好似在鼓掌欢庆这丰收的景象,A
238,以下哪句话中“出头”的意思(或用法)与其他句子不同。,被博物馆上上下下尊称为「郑老师」的郑永国，今年四十出头，是台湾陶艺界中青代的佼佼者，曾获得第四届金陶奖，以创作「纹壶」获铜牌奖知名。,在茶叶博物馆工作的陈欣评是二十出头的年轻人，他喝着酒、瞪着眼睛说，「我们坪林几乎没有一家娱乐场所，真的，一间也没有，我们坪林被管得死死的，想要盖房子或是增建，就会有人来查。,"""———尽管伤残影响了她的身体发育并不断损害着她的健康：她的身高仅1.4米出头,并伴有经常性头昏、全身性神经痛。""",百草忙着出头，百花忙着争艳，只有柳树伸直双臂全心全意迎接春天，春风来了就足够，春雨来了就满足，乐在春天里，美在春风中，情是春风情，意是春风意,D
239,以下哪句话中“出入”的意思(或用法)与其他句子不同。,交通安全进万家，出入平安你我他,异花四季当窗放。出入分明在屏障。别来隋柳几经秋。何日得重游,秋季养生重保肺，养阴防燥功加倍；起居出入添衣物，早睡早起去疲累；乐观情绪多栽培，舒畅胸怀少伤悲；饮食有度酸为好，辛辣食物少为妙；进补原则宜滋润，药物选择忌散耗；运动时刻不能少，坚持锻炼健康保,"""学校规定,午休时间学生不可随便出入校门""",B
240,以下哪句话中“出口”的意思(或用法)与其他句子不同。,机电产品占出口总值由五年前的百分之十七点九提高到百分之三十一点五。,据四川省有关部门介绍，今年一至十月，全省外贸进出口总值达十九点二七亿美元，比去年同期增长百分之九点三，其中外贸出口十三亿五千七百多万美元，同比增长百分之十五点八。,人生就像迷宫，我们用上半生寻找入口，用下半生寻找出口,一至十一月份，浦东新区外贸出口二十八亿美元，占全市出口的五分之一。,C
241,以下哪句话中“抵触”的意思(或用法)与其他句子不同。,流水在碰到抵触的地方，才把它的活力解放。歌,"""只要别人的意见稍有抵触,他就勃然大怒起来""",宪法取缔一切与之相抵触的法案,对消费的抵触也是根深蒂固的,A
242,以下哪句话中“纯粹”的意思(或用法)与其他句子不同。,白玉兰花是简单而又纯粹的花儿，它有着玉一般的质地和高雅。它高高的绽放在枝头上，没有绿叶，只是一朵朵白的有些清透的花瓣，在春阳下是如此的轻盈而又美好,亲情，是世上最珍贵的感情，它比水纯净，比金还纯粹。可是它总是静静地悄悄地到来。不被人发现。它没有友谊那么易碎，没有爱情那么明显可见，它总是散发着淡淡的清香，让人回味无穷,纯粹之美育，所以陶养吾人之感情，使有高尚纯洁之习惯，而使人我之见、利己损人之思念，以渐消沮者也。蔡元,诚挚的友情如清澈的流水，细远而悠久；纯粹的爱情像晶莹的冰块，无瑕而透明,D
243,以下哪句话中“答应”的意思(或用法)与其他句子不同。,我生平最高兴的，就是我答应帮助人家去做的事，自己不仅是完成了，而且比他们要求的做得更好，当完成这些信诺时，那种兴奋的感觉是难以形容的…,别忘了答应自己要做的事情，别忘了答应自己要去的地方，无论有多难，有多远,自己不能胜任的事情，切莫轻易答应别人，一旦答应了别人，就必须实践自己的诺言。华盛,苦海无涯，回头是岸。如果你现在缴枪投降，我答应留你全尸！蚊子在我面前潇洒地转悠了一圈，像是在挑衅，随后溜之大吉。是可忍，孰不可忍。我气急败坏，决定跟它斗个你死我活,B
244,以下哪句话中“打破”的意思(或用法)与其他句子不同。,随着“铁饭碗”的打破，不少中国人乐于在工资收入较高的外企寻找就业机会。,人类社会中刻意筑起的界线与杆格，是人为加上去的，最后也终需人们将它打破。,打破成规，新世界才能出现,由三九集团控股的深圳金融租赁有限公司与中国建行合作率先涉足国产民航飞机租赁业务，斥资近４０亿元订购６０架新舟６０飞机，发展我国的支线运输，打破了中国民航飞机租赁业由外国人垄断的历史。,C
245,以下哪句话中“大事”的意思(或用法)与其他句子不同。,凡办大事，半由人力，半由天事,精明的人明察秋毫，小事不糊涂；高超的人懒算细帐，大事不马虎,"""李哥小事糊涂,大事不糊涂,适宜担此重任""",大事不好,D
246,以下哪句话中“淡淡”的意思(或用法)与其他句子不同。,清晨，整个世界是清亮的，阳光透过淡淡的震气，温柔地洒在万物上，别有一番赏心悦目的感觉,当我走进杏花林时，闻到一股淡淡的清香迎面扑来，使我精神一振。我就是因为杏花的颜色和味道而喜欢它的。因为白色代表纯洁无瑕，一尘不染,微风拂过，荷花摆起了舞姿，小水珠在荷叶上不安分的跳动着，好象要比水跳的高，淡淡的清香迎风吹来，沁人心脾，似乎香气也是淡粉色的，梦幻一般轻轻地笼罩着世界,她那两汪清水似的凤眼，虽然总是淡淡的看人，却有说不出的明澈,D
247,以下哪句话中“相当”的意思(或用法)与其他句子不同。,关心公益应当是每个有相当教养的人所共同的。托尔斯,含羞草的花相当特殊。它开的紫红色或粉红色花球，实际上并不是一朵花，而是许多的小花所形成的花序。假如小心的把球上的每一个小单位分开，就可以看到每一个小单位都有四裂的花瓣、四根长长的雄蕊和一枚雌蕊，原来那一个个的小单位才是它的一朵花,最具讽刺意味的是，相当多的中学生能够把中外名着的书名、作者背得滚瓜烂熟，但对作品本身的内容却一无所知,穿这件衣服去参加晚会就已经相当好啦,D
248,以下哪句话中“当时”的意思(或用法)与其他句子不同。,时间是一件压在衣柜底儿的旧衣裳，当时是那样的不喜欢，后来再翻出来时居然就会变为爱宝,当时你的脸离我只有0.001千米！当我看到你的那一个瞬间，我知道我这一辈子除了你就没有其他支持我活下去的理由了,此情可待成追忆，只是当时已惘然。此情无计可消除，才下眉头却上心头,与其到头来收拾残局，甚至做成蚀本生意，倒不如当时理智克制一些,D
